,gain,cumulative_cost
"ITGAX,CR1,ITGAX,CD96,SEMA4A,CR1,SEMA4A,CD96",0.0,2.666666666666666
"CR1,LTB4R,CR1,P2RY13,LILRB4,LTB4R,LILRB4,P2RY13",0.0,2.6666666666666665
"SEMA4A,CD96,SEMA4A,CD33,LTB4R,CD96,LTB4R,CD33",0.0,2.682170542635659
"LTB4R,CD96,LTB4R,FUT3,LILRB4,CD96,LILRB4,FUT3",0.0,2.682170542635659
"CR1,P2RY13,CR1,LILRB4,CLEC12A,P2RY13,CLEC12A,LILRB4",0.0,2.682170542635659
"ITGAX,LTB4R,ITGAX,P2RY13,CD96,LTB4R,CD96,P2RY13",0.0,2.6821705426356592
"ITGAX,CD96,ITGAX,CLEC12A,P2RY13,CD96,P2RY13,CLEC12A",0.0,2.697674418604651
"SEMA4A,CD96,SEMA4A,CD33,CLEC12A,CD96,CLEC12A,CD33",0.0,2.697674418604651
"CD96,LILRB4,CD96,FUT3,CLEC12A,LILRB4,CLEC12A,FUT3",0.0,2.697674418604651
"TNFRSF1B,CD96,TNFRSF1B,LILRB4,LTB4R,CD96,LTB4R,LILRB4",0.0,2.7131782945736433
"ITGAX,SEMA4A,ITGAX,LILRB4,CD33,SEMA4A,CD33,LILRB4",0.0,2.7131782945736433
"TNFRSF1B,CD96,TNFRSF1B,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,2.7286821705426356
"CR1,LTB4R,CR1,LILRB4,CLEC12A,LTB4R,CLEC12A,LILRB4",0.0,2.744186046511628
"SEMA4A,LTB4R,SEMA4A,CLEC12A,P2RY13,LTB4R,P2RY13,CLEC12A",0.0,2.744186046511628
"ITGAX,CD96,ITGAX,CLEC12A,LTB4R,CD96,LTB4R,CLEC12A",0.0,2.75968992248062
"CR1,LTB4R,CR1,P2RY13,CD96,LTB4R,CD96,P2RY13",0.0,2.7751937984496124
"CR1,CD96,CR1,CLEC12A,P2RY13,CD96,P2RY13,CLEC12A",0.0,2.7906976744186047
"SEMA4A,LILRB4,SEMA4A,FUT3,P2RY13,LILRB4,P2RY13,FUT3",0.0,2.8062015503875966
"CR1,SEMA4A,CR1,LILRB4,CD33,SEMA4A,CD33,LILRB4",0.0,2.8062015503875966
"ITGAX,P2RY13,ITGAX,LILRB4,CR1,P2RY13,CR1,LILRB4",0.0,2.8062015503875966
"LTB4R,LILRB4,LTB4R,CD33,P2RY13,LILRB4,P2RY13,CD33",0.0,2.821705426356589
"ITGAX,CD96,ITGAX,CD33,SEMA4A,CD96,SEMA4A,CD33",0.0,2.8217054263565893
"ITGAX,CD96,ITGAX,FUT3,LILRB4,CD96,LILRB4,FUT3",0.0,2.8217054263565893
"P2RY13,CD33,P2RY13,CLEC12A,LILRB4,CD33,LILRB4,CLEC12A",0.0,2.837209302325581
"TNFRSF1B,P2RY13,TNFRSF1B,LILRB4,SEMA4A,P2RY13,SEMA4A,LILRB4",0.0,2.8372093023255816
"TNFRSF1B,ITGAX,TNFRSF1B,CD96,LILRB4,ITGAX,LILRB4,CD96",0.0,2.852713178294574
"CR1,CD96,CR1,CLEC12A,LTB4R,CD96,LTB4R,CLEC12A",0.0,2.852713178294574
"ITGAX,LTB4R,ITGAX,LILRB4,CR1,LTB4R,CR1,LILRB4",0.0,2.8682170542635657
"SEMA4A,CD96,SEMA4A,CD38,LILRB4,CD96,LILRB4,CD38",0.0,2.8682170542635657
"SEMA4A,LILRB4,SEMA4A,FUT3,LTB4R,LILRB4,LTB4R,FUT3",0.0,2.8682170542635657
"ITGAX,SEMA4A,ITGAX,P2RY13,LTB4R,SEMA4A,LTB4R,P2RY13",0.0,2.868217054263566
"ITGAX,CR1,ITGAX,CLEC12A,LILRB4,CR1,LILRB4,CLEC12A",0.0,2.883720930232558
"SEMA4A,FUT3,SEMA4A,CLEC12A,LILRB4,FUT3,LILRB4,CLEC12A",0.0,2.883720930232558
"ITGAX,SEMA4A,ITGAX,P2RY13,CLEC12A,SEMA4A,CLEC12A,P2RY13",0.0,2.8837209302325584
"LTB4R,CD33,LTB4R,CLEC12A,LILRB4,CD33,LILRB4,CLEC12A",0.0,2.89922480620155
"TNFRSF1B,LTB4R,TNFRSF1B,LILRB4,SEMA4A,LTB4R,SEMA4A,LILRB4",0.0,2.8992248062015507
"CR1,LILRB4,CR1,FUT3,CD96,LILRB4,CD96,FUT3",0.0,2.914728682170542
"TNFRSF1B,LILRB4,TNFRSF1B,CLEC12A,SEMA4A,LILRB4,SEMA4A,CLEC12A",0.0,2.9147286821705425
"SEMA4A,CD96,SEMA4A,FUT3,P2RY13,CD96,P2RY13,FUT3",0.0,2.9147286821705425
"ITGAX,CR1,ITGAX,CD96,P2RY13,CR1,P2RY13,CD96",0.0,2.9147286821705425
"CR1,CD96,CR1,CD33,SEMA4A,CD96,SEMA4A,CD33",0.0,2.914728682170543
"LTB4R,CD96,LTB4R,CD33,P2RY13,CD96,P2RY13,CD33",0.0,2.9302325581395348
"P2RY13,CD96,P2RY13,CD33,CLEC12A,CD96,CLEC12A,CD33",0.0,2.945736434108527
"TNFRSF1B,P2RY13,TNFRSF1B,CD96,SEMA4A,P2RY13,SEMA4A,CD96",0.0,2.945736434108527
"TNFRSF1B,CR1,TNFRSF1B,CD96,LILRB4,CR1,LILRB4,CD96",0.0,2.9457364341085275
"ITGAX,SEMA4A,ITGAX,LTB4R,CLEC12A,SEMA4A,CLEC12A,LTB4R",0.0,2.9457364341085275
"ITGAX,P2RY13,ITGAX,LILRB4,CD33,P2RY13,CD33,LILRB4",0.0,2.961240310077519
"CR1,SEMA4A,CR1,P2RY13,LTB4R,SEMA4A,LTB4R,P2RY13",0.0,2.9612403100775193
"SLC6A6,CD96,SLC6A6,LILRB4,SEMA4A,CD96,SEMA4A,LILRB4",0.0,2.976744186046511
"ITGAX,CR1,ITGAX,CD96,LTB4R,CR1,LTB4R,CD96",0.0,2.9767441860465116
"SEMA4A,CD96,SEMA4A,FUT3,LTB4R,CD96,LTB4R,FUT3",0.0,2.9767441860465116
"CR1,SEMA4A,CR1,P2RY13,CLEC12A,SEMA4A,CLEC12A,P2RY13",0.0,2.9767441860465116
"ITGAX,CD96,ITGAX,CLEC12A,CR1,CD96,CR1,CLEC12A",0.0,2.9922480620155034
"SEMA4A,CD96,SEMA4A,CLEC12A,FUT3,CD96,FUT3,CLEC12A",0.0,2.992248062015504
"ITGAX,SEMA4A,ITGAX,LILRB4,FUT3,SEMA4A,FUT3,LILRB4",0.0,3.007751937984496
"LTB4R,CD96,LTB4R,CD33,CLEC12A,CD96,CLEC12A,CD33",0.0,3.007751937984496
"TNFRSF1B,LTB4R,TNFRSF1B,CD96,SEMA4A,LTB4R,SEMA4A,CD96",0.0,3.007751937984496
"ITGAX,LTB4R,ITGAX,LILRB4,CD33,LTB4R,CD33,LILRB4",0.0,3.023255813953488
"TNFRSF1B,CD96,TNFRSF1B,CLEC12A,SEMA4A,CD96,SEMA4A,CLEC12A",0.0,3.0232558139534884
"CR1,SEMA4A,CR1,LTB4R,CLEC12A,SEMA4A,CLEC12A,LTB4R",0.0,3.0387596899224802
"CD82,SEMA4A,CD82,LILRB4,CD96,SEMA4A,CD96,LILRB4",0.0,3.0387596899224802
"ITGAX,CD33,ITGAX,CLEC12A,LILRB4,CD33,LILRB4,CLEC12A",0.0,3.0387596899224802
"TNFRSF1B,ITGAX,TNFRSF1B,LILRB4,SEMA4A,ITGAX,SEMA4A,LILRB4",0.0,3.0387596899224807
"CR1,P2RY13,CR1,LILRB4,CD33,P2RY13,CD33,LILRB4",0.0,3.0542635658914725
"ITGAX,CD96,ITGAX,CD33,P2RY13,CD96,P2RY13,CD33",0.0,3.069767441860465
"CD96,LILRB4,CD96,FUT3,CD33,LILRB4,CD33,FUT3",0.0,3.0697674418604652
"CR1,SEMA4A,CR1,LILRB4,FUT3,SEMA4A,FUT3,LILRB4",0.0,3.1007751937984493
